robot_id,node_id,ETduck
duck1,N01,0.0
duck1,N02,7.0
duck1,N12,14.0
duck1,N22,26.75
duck1,N23,33.75
duck1,N24,40.75
duck1,N14,47.75
duck1,N24,54.75
duck1,N34,61.75
duck1,N33,68.75
duck1,N23,225.75
duck1,N13,232.75
duck1,N03,239.75
duck1,N02,246.75
duck1,N01,253.75
duck2,N34,0.0
duck2,N33,7.0
duck2,N32,34.25
duck2,N22,122.75
duck2,N12,129.75
duck2,N13,136.75
duck2,N14,143.75
duck2,N04,150.75
duck2,N03,157.75
duck2,N02,164.75
duck2,N03,171.75
duck2,N04,178.75
duck2,N14,185.75
duck2,N24,192.75
duck2,N34,199.75
duck3,N31,0.0
duck3,N21,7.0
duck3,N11,54.5
duck3,N12,149.75
duck3,N13,156.75
duck3,N03,191.75
duck3,N02,198.75
duck3,N01,205.75
duck3,N11,212.75
duck3,N21,219.75
duck3,N31,226.75
duck4,N04,0.0
duck4,N14,67.75
duck4,N24,74.75
duck4,N23,81.75
duck4,N22,88.75
duck4,N21,95.75
duck4,N22,102.75
duck4,N23,109.75
duck4,N24,212.75
duck4,N14,219.75
duck4,N04,226.75
